Sol ID,Live Count,Amt
0007,18,Aug'16
0037,42,Aug'16
0155,5,Aug'16
0160,16,Aug'16
0171,124,Aug'16
0313,35,Aug'16
0316,3,Aug'16
0335,42,Aug'16
0423,32,Aug'16
0488,56,Aug'16
0542,31,Aug'16
0713,211,Aug'16
0714,27,Aug'16
0717,10,Aug'16
0719,16,Aug'16
0720,30,Aug'16
0826,12,Aug'16
0827,14,Aug'16
0829,2,Aug'16
1023,48,Aug'16
1125,98,Aug'16
1128,29,Aug'16
1358,8,Aug'16
1650,25,Aug'16
1694,70,Aug'16
1823,9,Aug'16
6291,14,Aug'16
6292,12,Aug'16
6294,36,Aug'16
6295,8,Aug'16
6297,89,Aug'16
6640,108,Aug'16
6641,7,Aug'16
0722,53,Aug'16
0071,61,Aug'16
0225,50,Aug'16
0331,25,Aug'16
1024,23,Aug'16
1354,10,Aug'16
1821,168,Aug'16
0396,75,Aug'16
0029,24,Aug'16
0288,23,Aug'16
0330,77,Aug'16
0831,24,Aug'16
1139,16,Aug'16
0065,67,Aug'16
0087,74,Aug'16
0332,29,Aug'16
0367,25,Aug'16
0547,21,Aug'16
0842,11,Aug'16
0928,3,Aug'16
1129,6,Aug'16
1132,11,Aug'16
1136,17,Aug'16
1356,33,Aug'16
6296,48,Aug'16
6300,22,Aug'16
6633,18,Aug'16
0378,33,Aug'16
1005,56,Aug'16
1134,40,Aug'16
6629,47,Aug'16
6632,92,Aug'16
6634,3,Aug'16
0333,27,Aug'16
0715,9,Aug'16
1818,15,Aug'16
2122,1,Aug'16
6298,51,Aug'16
0154,10,Aug'16
0364,6,Aug'16
1357,20,Aug'16
6630,2,Aug'16
0224,37,Aug'16
0387,13,Aug'16
1126,14,Aug'16
1137,22,Aug'16
1138,10,Aug'16
1355,43,Aug'16
1822,11,Aug'16
1946,2,Aug'16
1824,20,Aug'16
0369,18,Aug'16
6301,10,Aug'16
6635,8,Aug'16
6639,8,Aug'16
0830,16,Aug'16
1351,28,Aug'16
1004,15,Aug'16
1131,7,Aug'16
2353,13,Aug'16
1133,8,Aug'16
6636,4,Aug'16
0311,3,Aug'16
0724,10,Aug'16
1825,15,Aug'16
2354,60,Aug'16
2355,62,Aug'16
6626,13,Aug'16
6631,26,Aug'16
6643,19,Aug'16
0322,14,Aug'16
0343,13,Aug'16
0571,26,Aug'16
3361,14,Aug'16
0721,2,Aug'16
3543,12,Aug'16
0046,3,Aug'16
1025,251,Aug'16
1079,85,Aug'16
6303,24,Aug'16
6613,74,Aug'16
0083,123,Aug'16
0857,25,Aug'16
1401,6,Aug'16
1400,182,Aug'16
2358,33,Aug'16
1842,21,Aug'16
0031,99,Aug'16
6284,41,Aug'16
1070,137,Aug'16
0253,30,Aug'16
1578,5,Aug'16
0888,82,Aug'16
6286,45,Aug'16
0718,113,Aug'16
0885,20,Aug'16
1256,127,Aug'16
6955,51,Aug'16
1255,8,Aug'16
1254,26,Aug'16
6956,9,Aug'16
0021,109,Aug'16
0910,61,Aug'16
1069,84,Aug'16
6614,18,Aug'16
0177,18,Aug'16
1031,51,Aug'16
1148,13,Aug'16
0858,32,Aug'16
1146,24,Aug'16
0314,47,Aug'16
6615,2,Aug'16
3709,1,Aug'16
0185,188,Aug'16
1182,51,Aug'16
6804,66,Aug'16
6805,37,Aug'16
6806,122,Aug'16
6807,85,Aug'16
6808,67,Aug'16
6813,117,Aug'16
6837,364,Aug'16
6838,746,Aug'16
6839,121,Aug'16
0285,314,Aug'16
0509,127,Aug'16
0792,577,Aug'16
1530,132,Aug'16
6736,98,Aug'16
6737,30,Aug'16
1744,20,Aug'16
6856,362,Aug'16
6857,272,Aug'16
0246,98,Aug'16
6663,148,Aug'16
6665,144,Aug'16
6666,156,Aug'16
6664,217,Aug'16
0234,376,Aug'16
6697,28,Aug'16
6698,236,Aug'16
6699,94,Aug'16
6700,206,Aug'16
6703,64,Aug'16
6702,262,Aug'16
0647,137,Aug'16
0734,260,Aug'16
0797,604,Aug'16
6707,56,Aug'16
6732,487,Aug'16
6733,61,Aug'16
6618,31,Aug'16
2826,72,Aug'16
6709,166,Aug'16
6710,304,Aug'16
0012,220,Aug'16
0235,174,Aug'16
0315,115,Aug'16
0550,54,Aug'16
0650,300,Aug'16
6743,67,Aug'16
6745,110,Aug'16
6746,84,Aug'16
6747,102,Aug'16
6749,68,Aug'16
6750,78,Aug'16
6751,102,Aug'16
6752,27,Aug'16
6753,58,Aug'16
6754,19,Aug'16
6755,5,Aug'16
6757,220,Aug'16
6758,66,Aug'16
6759,200,Aug'16
6760,71,Aug'16
6761,134,Aug'16
6762,154,Aug'16
6764,159,Aug'16
